annee;cnc_numero;visa;titre;genre;nationalite;distributeur;classification;date_sortie;art_et_essai;etablissements_s1;titre_clean;distributeur_clean
2015;2014003469;142278;THE DUKE OF BURGUNDY;DRAME;GRANDE BRETAGNE;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;TP;2015-06-17;OUI;12;the duke of burgundy;societe d’exploitation des films majestic
2022;2022001792;157107;THE EARTH IS BLUE AS AN ORANGE;DOCUMENTAIRE;UKRAINE;JUSTE DISTRIBUTION;TP;2022-06-08;OUI;11;the earth is blue as an orange;juste distribution
2013;2013001398;136841;THE EAST;THRILLER;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2013-07-10;OUI;18;the east;twentieth century fox france inc                                
2005;2004494006;111385;THE EDUKATORS;COMEDIE DRAMATIQUE;ALLEMAGNE;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;TP;2005-02-02;OUI;57;the edukators;societe d’exploitation des films majestic
2020;2019001531;150599;THE END OF LOVE;COMEDIE DRAMATIQUE;FRANCE;CONDOR DISTRIBUTION;TP;2020-09-30;NON;149;the end of love;condor distribution
1998;1998293134;093425;THE END OF VIOLENCE;DRAME;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;1998-01-28;OUI;52;the end of violence;paramount pictures france                                       
2012;2011000492;129080;THE EXCHANGE;DRAME;ISRAEL / ALLEMAGNE;PYRAMIDE                                                        ;TP;2012-07-18;OUI;5;the exchange;pyramide                                                        
2010;2009993488;123410;THE EXPENDABLES : UNITE SPECIALE;AVENTURES;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;12;2010-08-18;NON;513;the expendables : unite speciale;metropolitan filmexport                                         
2002;2002393809;106446;THE EXTREMISTS;AVENTURES;GRANDE BRETAGNE;SOCIETE NOUVELLE DE DISTRIBUTION                                ;TP;2002-12-11;NON;322;the extremists;societe nouvelle de distribution                                
2008;2008293276;120020;THE EYE;FANTASTIQUE;ETATS UNIS;MARS FILMS                                                      ;TPA;2008-04-09;NON;190;the eye;mars films                                                      
2003;2003993491;108053;THE EYE;FANTASTIQUE;CHINE;EUROPACORP DISTRIBUTION                                         ;12;2003-08-27;OUI;144;the eye;europacorp distribution                                         
2023;2022005404;158402;THE FABELMANS;BIOGRAPHIE;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS;TP;2023-02-22;OUI;518;the fabelmans;universal pictures international france sas
2014;2014001709;139924;THE FACE OF LOVE;DRAME;ETATS UNIS;CHRYSALIS FILMS                                                 ;TP;2014-07-16;NON;52;the face of love;chrysalis films                                                 
1999;1999293382;097286;THE FALCULTY;FANTASTIQUE;ETATS UNIS;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;12;1999-06-02;NON;433;the falculty;societe d’exploitation des films majestic
2024;2024001000;162179;THE FALL GUY;AVENTURES;USA;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS;TP;2024-05-01;;626;the fall guy;universal pictures international france sas
1996;1996303418;086605;THE FALLS;DOCUMENTAIRE;GRANDE BRETAGNE;LES FILMS DE L'ATALANTE;TP;1996-07-24;OUI;1;the falls;les films de l'atalante
2021;2019003080;151195;THE FATHER;DRAME;GRANDE BRETAGNE;ORANGE STUDIO;TP;2021-05-26;OUI;425;the father;orange studio
2016;2016000353;143821;THE FINEST HOURS;AVENTURES;ETATS UNIS;THE WALT DISNEY COMPANY FRANCE                                  ;TP;2016-02-24;NON;208;the finest hours;the walt disney company france                                  
2023;2023003221;159886;THE FIRST SLAM DUNK;ANIMATION;JAPON;WILD BUNCH;TP;2023-07-26;OUI;201;the first slam dunk;wild bunch
2017;2016003803;2016003803;THE FITS;DRAME;ETATS UNIS;ARP MERMOZ;TP;2017-01-11;OUI;18;the fits;arp mermoz
2023;2023002435;159477;THE FLASH;AVENTURES;GRANDE BRETAGNE;WARNER BROS. ENTERTAINMENT FRANCE;TP;2023-06-14;NON;667;the flash;warner bros. entertainment france
2017;2017002055;;THE FLORIDA PROJECT;DRAME;ETATS UNIS;LE PACTE                                                        ;TP;2017-12-20;OUI;97;the florida project;le pacte                                                        
2013;2010002105;127427;THE FOOD GUIDE TO LOVE;COMEDIE;ESPAGNE / IRLANDE / FRANCE;HAUT ET COURT DISTRIBUTION                                      ;TP;2013-12-18;NON;1;the food guide to love;haut et court distribution                                      
2017;2017003834;147635;THE FOREIGNER;THRILLER;GRANDE BRETAGNE;METROPOLITAN FILMEXPORT                                         ;TP;2017-11-08;NON;127;the foreigner;metropolitan filmexport                                         
2023;2022003663;;THE FOREST MAKER;DOCUMENTAIRE;Allemagne;TAMASA DISTRIBUTION;TP;2023-04-05;NON;2;the forest maker;tamasa distribution
2006;2006294027;116833;THE FOUNTAIN;SCIENCE FICTION;ETATS UNIS;TF1 DROITS AUDIOVISUELS                                         ;TP;2006-12-27;NON;137;the fountain;tf1 droits audiovisuels                                         
2021;2019005600;152114;THE FRENCH DISPATCH;COMEDIE DRAMATIQUE;ETATS UNIS;THE WALT DISNEY COMPANY FRANCE;TP;2021-10-27;OUI;251;the french dispatch;the walt disney company france
2019;2018005571;150052;THE FRONT RUNNER;HISTOIRE;ETATS UNIS;SONY PICTURES RELEASING (FRANCE)                                ;TP;2019-01-16;NON;69;the front runner;sony pictures releasing (france)                                
1997;1997393411;092272;THE FULL MONTY, LE GRAND JEU;COMEDIE;GRANDE BRETAGNE;UFD;TP;1997-10-22;OUI;116;the full monty, le grand jeu;ufd
2011;2011000923;129538;THE FUTURE;COMEDIE;ETATS UNIS / ALLEMAGNE;HAUT ET COURT DISTRIBUTION                                      ;TP;2011-08-17;OUI;28;the future;haut et court distribution                                      
2014;2014004069;141330;THE GAMBLER;THRILLER;LITUANIE;ASC DISTRIBUTION                                                ;TPA;2014-12-31;NON;7;the gambler;asc distribution                                                
1997;1997293577;093338;THE GAME;AVENTURES;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;1997-11-05;NON;360;the game;paramount pictures france                                       
2020;2019005530;152068;THE GENTLEMEN;THRILLER;GRANDE BRETAGNE;SOCIETE NOUVELLE DE DISTRIBUTION;TPA;2020-02-05;NON;399;the gentlemen;societe nouvelle de distribution
2010;1900025874;119365;THE GHOST WRITER;THRILLER;FRANCE / ALLEMAGNE / GRANDE BRETAGNE;PATHE DISTRIBUTION                                              ;TP;2010-03-03;OUI;321;the ghost writer;pathe distribution                                              
1998;1998293296;094399;THE GINGERBREAD MAN;POLICIER;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;1998-06-03;OUI;74;the gingerbread man;paramount pictures france                                       
2004;2004293403;110010;THE GIRL NEXT DOOR;COMEDIE;ETATS UNIS;UFD;TP;2004-12-29;NON;154;the girl next door;ufd
2014;2014002903;140660;THE GIVER;SCIENCE FICTION;ETATS UNIS;STUDIOCANAL                                                     ;TPA;2014-10-29;NON;280;the giver;studiocanal                                                     
1996;1996293246;089398;THE GLASS SHIELD;POLICIER;ETATS UNIS;CIBY DISTRIBUTION;TP;1996-05-01;OUI;6;the glass shield;ciby distribution
2014;2014002539;140525;THE GO GO BOYS;DOCUMENTAIRE;ISRAEL;PARADIS FILMS                                                   ;TP;2014-10-22;OUI;3;the go go boys;paradis films                                                   
2001;2003993539;107275;THE GODDESS OF 1967;COMEDIE DRAMATIQUE;AUSTRALIE;OCEAN FILMS DISTRIBUTION;TP;2001-07-18;OUI;7;the goddess of 1967;ocean films distribution
2020;2020002404;153761;THE GOOD CRIMINAL;AVENTURES;ETATS UNIS;METROPOLITAN FILMEXPORT;TP;2020-10-14;NON;363;the good criminal;metropolitan filmexport
2007;2007293105;116961;THE GOOD GERMAN;GUERRE;ETATS UNIS;WARNER BROS. ENTERTAINMENT FRANCE                               ;TP;2007-02-14;OUI;130;the good german;warner bros. entertainment france                               
2003;2003273869;108346;THE GOOD GIRL;COMEDIE;ETATS UNIS;MARS DISTRIBUTION;TP;2003-06-18;NON;67;the good girl;mars distribution
2010;1900026305;120625;THE GOOD HEART;COMEDIE;ISLANDE / DANEMARK / FRANCE;LE PACTE                                                        ;TP;2010-03-17;OUI;24;the good heart;le pacte                                                        
