annee;cnc_numero;visa;titre;genre;nationalite;distributeur;classification;date_sortie;art_et_essai;etablissements_s1;titre_clean;distributeur_clean
2021;2021000897;155401;DREAM HORSE;BIOGRAPHIE;GRANDE BRETAGNE;EUROZOOM;TP;2021-08-04;OUI;134;dream horse;eurozoom
2011;2011002322;130951;DREAM HOUSE;THRILLER;ETATS UNIS;WARNER BROS. ENTERTAINMENT FRANCE                               ;TPA;2011-10-05;NON;322;dream house;warner bros. entertainment france                               
2023;2023006192;161128;DREAM SCENARIO;COMEDIE;ETATS UNIS;METROPOLITAN FILMEXPORT;TP;2023-12-27;OUI;104;dream scenario;metropolitan filmexport
2003;2003293253;107748;DREAMCATCHER;FANTASTIQUE;ETATS UNIS;WARNER BROS TRANSATLANTIC INC;12A;2003-04-16;NON;339;dreamcatcher;warner bros transatlantic inc
2013;2013001233;136707;DREAMERS;DOCUMENTAIRE;FRANCE;UGC DISTRIBUTION                                                ;TP;2013-05-15;NON;1;dreamers;ugc distribution                                                
2007;2007293070;116993;DREAMGIRLS;MUSICAL;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2007-02-28;NON;395;dreamgirls;paramount pictures france                                       
2024;2021000554;154805;DREAMING WALLS;DOCUMENTAIRE;FRANCE;LES ALCHIMISTES;TP;2024-08-28;OUI;13;dreaming walls;les alchimistes
2007;2007283526;118344;DREAMLAND;DRAME;ETATS UNIS;PRETTY PICTURES                                                 ;TP;2007-08-01;NON;2;dreamland;pretty pictures                                                 
2020;2020001653;153312;DREAMS;ANIMATION;DANEMARK;KMBO;TP;2020-07-29;NON;587;dreams;kmbo
2012;2009994867;124608;DRIFT AWAY;COMEDIE DRAMATIQUE;FRANCE;ZELIG FILMS                                                     ;TP;2012-12-19;OUI;5;drift away;zelig films                                                     
2008;2008293139;119808;DRILLBIT TAYLOR : GARDE DU CORPS;COMEDIE;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2008-05-07;NON;9;drillbit taylor : garde du corps;paramount pictures france                                       
2011;2011001956;130831;DRIVE;THRILLER;ETATS UNIS;LE PACTE                                                        ;12;2011-10-05;OUI;253;drive;le pacte                                                        
2021;2021001128;155402;DRIVE MY CAR;DRAME;JAPON;DIAPHANA DISTRIBUTION;TP;2021-08-18;OUI;139;drive my car;diaphana distribution
2024;2023004054;160329;DRIVE-AWAY DOLLS;COMEDIE;USA;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS;TPA;2024-04-03;OUI;155;drive-away dolls;universal pictures international france sas
2001;2001293452;103069;DRIVEN;AVENTURES;ETATS UNIS;WARNER BROS TRANSATLANTIC INC;TP;2001-07-11;NON;472;driven;warner bros transatlantic inc
2000;2000293232;099635;DROIT AU COEUR;DRAME;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2000-07-12;NON;80;droit au coeur;paramount pictures france                                       
1997;1997093608;092058;DROIT DANS LE MUR;COMEDIE;FRANCE;AFMD;TP;1997-11-19;NON;74;droit dans le mur;afmd
2023;2022001811;156730;DROIT DANS LES YEUX;DOCUMENTAIRE;FRANCE;DES FILMS NUIT ET JOUR;TP;2023-02-01;NON;4;droit dans les yeux;des films nuit et jour
2010;2010001317;127023;DROIT DE PASSAGE;DRAME;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2010-08-04;NON;133;droit de passage;metropolitan filmexport                                         
1998;1998293763;096023;DROLE DE COUPLE 2;COMEDIE;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;1998-12-02;NON;2;drole de couple 2;paramount pictures france                                       
2000;2000093245;095786;DROLE DE FELIX;COMEDIE;FRANCE;PYRAMIDE                                                        ;TP;2000-04-19;OUI;55;drole de felix;pyramide                                                        
2009;2009994286;124222;DROLE DE GRENIER;ANIMATION;REPUBLIQUE TCHEQUE;GEBEKA FILMS                                                    ;TP;2009-12-09;OUI;28;drole de grenier;gebeka films                                                    
2017;2014002940;128133;DROLES DE PETITES BETES;ANIMATION;FRANCE / LUXEMBOURG;GEBEKA FILMS                                                    ;TP;2017-12-13;OUI;322;droles de petites betes;gebeka films                                                    
2017;2016000388;143846;DROLES D'OISEAUX;COMEDIE DRAMATIQUE;FRANCE;SHELLAC                                                         ;TP;2017-05-31;OUI;28;droles d oiseaux;shellac                                                         
2013;2013001729;137263;DROLES D'OISEAUX;ANIMATION;AFRIQUE DU SUD;METROPOLITAN FILMEXPORT                                         ;TP;2013-08-14;NON;478;droles d oiseaux;metropolitan filmexport                                         
2024;2020003746;154047;DRONE;DRAME;FRANCE;HAUT ET COURT DISTRIBUTION;TP;2024-10-02;OUI;85;drone;haut et court distribution
2018;2017004795;148058;DROP OF SUN;DRAME;SUISSE;VENDREDI VENDREDI CINEMA DISTRIBUTION                           ;TP;2018-03-14;OUI;3;drop of sun;vendredi vendredi cinema distribution                           
2021;2021002925;;DRUMS OF RESISTANCE;DOCUMENTAIRE;KOSOVO;LES FILMS SAINT ANDRE DES ARTS;TP;2021-12-08;NON;1;drums of resistance;les films saint andre des arts
2020;2020002005;153719;DRUNK;COMEDIE;DANEMARK;HAUT ET COURT DISTRIBUTION;TP;2020-10-14;OUI;278;drunk;haut et court distribution
2022;2021004187;156004;DU BEAU CINEMA;DOCUMENTAIRE;FRANCE;LES FILMS INDEPENDANTS D'EXCEPTION;TP;2022-01-05;NON;1;du beau cinema;les films independants d'exception
1999;1999093769;090764;DU BLEU JUSQU EN AMERIQUE;FANTASTIQUE;FRANCE;REZO FILMS;TP;1999-12-01;OUI;12;du bleu jusqu en amerique;rezo films
2015;2011000704;129324;DU BRUIT DANS LA TETE;DRAME;SUISSE;HEVADIS FILMS                                                   ;TP;2015-12-02;NON;1;du bruit dans la tete;hevadis films                                                   
2001;2001093121;094341;DU COTE DES FILLES...;COMEDIE DRAMATIQUE;FRANCE;LES FILMS DU LOSANGE                                            ;TP;2001-04-25;NON;17;du cote des filles...;les films du losange                                            
2022;2021004729;152341;DU CREPITEMENT SOUS LES NEONS;DRAME;FRANCE;LES BOOKMAKERS;12;2022-11-16;NON;65;du crepitement sous les neons;les bookmakers
2014;2012000543;132598;DU GOUDRON ET DES PLUMES;COMEDIE DRAMATIQUE;FRANCE / ALLEMAGNE;AD VITAM                                                        ;TP;2014-07-09;OUI;118;du goudron et des plumes;ad vitam                                                        
2006;2006093145;112615;DU JOUR AU LENDEMAIN;COMEDIE;FRANCE / BELGIQUE;STUDIOCANAL                                                     ;TP;2006-03-15;NON;294;du jour au lendemain;studiocanal                                                     
1997;1997073060;091501;DU JOUR AU LENDEMAIN;MUSICAL;FRANCE;PIERRE GRISE DISTRIBUTION                                       ;TP;1997-02-12;OUI;1;du jour au lendemain;pierre grise distribution                                       
2004;2004283157;109627;DU MALI AU MISSISSIPPI;DOCUMENTAIRE;ETATS UNIS;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;TP;2004-03-24;OUI;29;du mali au mississippi;societe d’exploitation des films majestic
2019;2019000836;150438;DU MIEL PLEIN LA TETE;COMEDIE DRAMATIQUE;ALLEMAGNE;WARNER BROS TRANSATLANTIC INC;TP;2019-03-20;NON;97;du miel plein la tete;warner bros transatlantic inc
2013;2012001178;133209;DU PLOMB DANS LA TETE;THRILLER;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;12;2013-02-27;NON;242;du plomb dans la tete;metropolitan filmexport                                         
2000;2000083710;096526;DU POIL SOUS LES ROSES;COMEDIE DRAMATIQUE;FRANCE;MAGOURIC DISTRIBUTION;TPA;2000-11-01;OUI;46;du poil sous les roses;magouric distribution
2014;2013003383;138538;DU SANG ET DES LARMES;GUERRE;ETATS UNIS;SOCIETE NOUVELLE DE DISTRIBUTION                                ;12A;2014-01-01;NON;157;du sang et des larmes;societe nouvelle de distribution                                
2018;2017002692;145640;DU SOLEIL DANS MES YEUX;DRAME;FRANCE;MC4  DISTRIBUTION                                               ;TP;2018-04-11;OUI;22;du soleil dans mes yeux;mc4  distribution                                               
1998;1998293387;094298;DU VENIN DANS LES VEINES (HUSH);THRILLER;ETATS UNIS;SONY PICTURES TELEVISION DISTRIBUTION (FRANCE)                  ;TP;1998-07-08;NON;50;du venin dans les veines (hush);sony pictures television distribution (france)                  
2012;2011001386;127102;DU VENT DANS MES MOLLETS;COMEDIE;FRANCE;GAUMONT                                                         ;TP;2012-08-22;OUI;285;du vent dans mes mollets;gaumont                                                         
2012;2010001840;127156;DUBAI FLAMINGO;COMEDIE DRAMATIQUE;FRANCE / PORTUGAL;ALFAMA FILMS PRODUCTION                                         ;TP;2012-01-18;NON;14;dubai flamingo;alfama films production                                         
2012;2011003565;132026;DUCH, LE MAITRE DES FORGES DE L'ENFER;DOCUMENTAIRE;FRANCE;LES ACACIAS                                                     ;TP;2012-01-18;OUI;6;duch, le maitre des forges de l enfer;les acacias                                                     
2020;2019003200;151297;DUCOBU 3;COMEDIE;FRANCE;UGC DISTRIBUTION;TP;2020-02-05;NON;605;ducobu 3;ugc distribution
2024;2023004799;160508;DUCOBU PASSE AU VERT;COMEDIE;FRANCE;UGC DISTRIBUTION;TP;2024-04-03;;706;ducobu passe au vert;ugc distribution
2022;2021002815;155701;DUCOBU PRESIDENT;COMEDIE;FRANCE;UGC DISTRIBUTION;TP;2022-07-13;NON;728;ducobu president;ugc distribution
2006;2006993290;115133;DUELIST;AVENTURES;COREE;LA FABRIQUE DE FILMS;TP;2006-05-17;OUI;91;duelist;la fabrique de films
2019;2017001827;146643;DUELLES;DRAME;BELGIQUE / FRANCE;HAUT ET COURT DISTRIBUTION                                      ;TPA;2019-05-01;OUI;38;duelles;haut et court distribution                                      
2014;2014003496;141171;DUMB & DUMBER DE;COMEDIE;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2014-12-17;NON;293;dumb & dumber de;metropolitan filmexport                                         
2003;2003283526;108635;DUMB AND DUMBERER;COMEDIE;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2003-08-13;NON;294;dumb and dumberer;metropolitan filmexport                                         
2023;2023005443;160691;DUMB MONEY;COMEDIE;ETATS UNIS;METROPOLITAN FILMEXPORT;TP;2023-11-29;NON;146;dumb money;metropolitan filmexport
2019;2019000696;150564;DUMBO;AVENTURES;ETATS UNIS;BUENA VISTA INTERNATIONAL FRANCE;TP;2019-03-27;OUI;780;dumbo;buena vista international france
2019;2019003398;;D'UN CLANDESTIN, L'AUTRE;DOCUMENTAIRE;FRANCE;LES FILMS SAINT ANDRE DES ARTS;TP;2019-09-18;NON;1;d un clandestin, l autre;les films saint andre des arts
2011;1900027071;122525;D'UN FILM A L'AUTRE;DOCUMENTAIRE;FRANCE;LES FILMS 13                                                    ;TP;2011-04-13;NON;17;d un film a l autre;les films 13                                                    
2024;2023000622;158839;D'UN PAYS LOINTAIN;COMEDIE;FRANCE;NO BORDER;TP;2024-11-20;;1;d un pays lointain;no border
2000;2000293360;098913;D  UN REVE A L  AUTRE;FANTASTIQUE;ETATS UNIS;GAUMONT BUENA VISTA INTERNATIONAL;TP;2000-06-07;NON;158;d un reve a l autre;gaumont buena vista international
2021;2021000879;155420;DUNE;SCIENCE FICTION;ETATS UNIS;WARNER BROS. ENTERTAINMENT FRANCE;TP;2021-09-15;OUI;716;dune;warner bros. entertainment france
2024;2023003965;161284;DUNE : DEUXIEME PARTIE;SCIENCE FICTION;USA;WARNER BROS. ENTERTAINMENT FRANCE;TPA;2024-02-28;;816;dune : deuxieme partie;warner bros. entertainment france
1998;1998093508;094844;D UNE BROUSSE A L AUTRE;DOCUMENTAIRE;FRANCE;AVANTI FILMS;TP;1998-09-02;OUI;3;d une brousse a l autre;avanti films
2013;2013000080;135986;D'UNE ECOLE A L'AUTRE;DOCUMENTAIRE;FRANCE;LES FILMS DU PARADOXE                                           ;TP;2013-02-13;OUI;5;d une ecole a l autre;les films du paradoxe                                           
2016;2016002108;144898;D'UNE FAMILLE A L'AUTRE;DRAME;BRESIL;CONDOR DISTRIBUTION;TP;2016-07-20;NON;37;d une famille a l autre;condor distribution
2016;2015000770;141793;D'UNE PIERRE DEUX COUPS;DRAME;FRANCE;HAUT ET COURT DISTRIBUTION                                      ;TP;2016-04-20;OUI;42;d une pierre deux coups;haut et court distribution                                      
2009;2009994000;123857;D'UNE SEULE VOIX;DOCUMENTAIRE;FRANCE;ALOEST PRODUCTIONS                                              ;TP;2009-11-11;OUI;23;d une seule voix;aloest productions                                              
2014;2013002511;139208;D UNE VIE A L AUTRE;DOCUMENTAIRE;ALLEMAGNE / NORVEGE;SOPHIE DULAC DISTRIBUTION                                       ;TP;2014-05-07;OUI;81;d une vie a l autre;sophie dulac distribution                                       
1999;1998293766;096088;D UNE VIE A L AUTRE;COMEDIE;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;1999-01-06;NON;91;d une vie a l autre;metropolitan filmexport                                         
2006;2006093196;110072;DUNIA;COMEDIE DRAMATIQUE;LIBAN / EGYPTE / FRANCE;CLAIR OBSCUR;TP;2006-09-06;OUI;7;dunia;clair obscur
2017;2016004460;146877;DUNKERQUE;AVENTURES;GRANDE BRETAGNE;WARNER BROS. ENTERTAINMENT FRANCE                               ;TP;2017-07-19;OUI;773;dunkerque;warner bros. entertainment france                               
1996;1996283169;089150;DUNSTON - PANIQUE AU PALACE;COMEDIE;ETATS UNIS;UFD;TP;1996-07-03;NON;147;dunston - panique au palace;ufd
2014;2012002314;134570;DUO D'ESCROCS;COMEDIE;GRANDE BRETAGNE;SOCIETE NOUVELLE DE DISTRIBUTION                                ;TP;2014-07-02;NON;215;duo d escrocs;societe nouvelle de distribution                                
2001;2001293007;099046;DUOS D UN JOUR;COMEDIE;ETATS UNIS;CTV INTERNATIONAL                                               ;TP;2001-01-10;NON;60;duos d un jour;ctv international                                               
2009;2009293237;122740;DUPLICITY;COMEDIE;ETATS UNIS;UNIVERSAL PICTURES FRANCE SA;TP;2009-03-25;NON;417;duplicity;universal pictures france sa
2005;2005273678;113810;DUTCH HARBOR;DOCUMENTAIRE;ETATS UNIS;ED DISTRIBUTION                                                 ;TP;2005-11-23;OUI;2;dutch harbor;ed distribution                                                 
2024;2024005352;163208;E.1027 EILEEN GRAY ET LA MAISON AU BORD DE LA MER;DOCUMENTAIRE;EUROPE;DEAN MEDIAS;TP;2024-11-13;;3;e.1027 eileen gray et la maison au bord de la mer;dean medias
2016;2015004442;143663;EARLY WINTER;DRAME;CANADA;PYRAMIDE                                                        ;TP;2016-01-06;OUI;7;early winter;pyramide                                                        
2023;2021001670;148328;EARWIG;DRAME;GRANDE BRETAGNE;NEW STORY;12;2023-01-18;OUI;11;earwig;new story
2016;2012003188;135285;EAST PUNK MEMORIES;DOCUMENTAIRE;FRANCE;ARAMIS                                                          ;TP;2016-03-30;OUI;8;east punk memories;aramis                                                          
2014;2009994448;124248;EASTERN BOYS;DRAME;FRANCE;SOPHIE DULAC DISTRIBUTION                                       ;TPA;2014-04-02;OUI;34;eastern boys;sophie dulac distribution                                       
2010;2009995295;125221;EASTERN PLAYS;DRAME;BULGARIE;EPICENTRE FILMS                                                 ;TP;2010-03-10;OUI;20;eastern plays;epicentre films                                                 
2011;2011000380;129048;EASY MONEY;THRILLER;SUEDE;MK2 FILMS;12;2011-03-30;NON;89;easy money;mk2 films
2013;2013000697;137206;EAT SLEEP DIE;DRAME;SUEDE;ASC DISTRIBUTION                                                ;TP;2013-06-19;OUI;13;eat sleep die;asc distribution                                                
2024;2020003436;153784;EAT THE NIGHT;DRAME;FRANCE;TANDEM;12;2024-07-17;OUI;69;eat the night;tandem
2014;2014003414;141056;EAU ARGENTÉE;DOCUMENTAIRE;FRANCE;POTEMKINE                                                       ;16;2014-12-17;OUI;20;eau argentée;potemkine                                                       
2002;2002993329;105311;EAU ET SEL;INDETERMINE;PORTUGAL;GEMINI FILMS;TP;2002-05-08;OUI;1;eau et sel;gemini films
2002;2002293090;103912;ECARTS DE CONDUITE;COMEDIE DRAMATIQUE;ETATS UNIS;SONY PICTURES TELEVISION DISTRIBUTION (FRANCE)                  ;TP;2002-07-24;NON;66;ecarts de conduite;sony pictures television distribution (france)                  
2011;2011002140;130895;ECHANGE STANDARD;COMEDIE;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS                     ;TP;2011-12-28;NON;165;echange standard;universal pictures international france sas                     
2020;2019005148;152198;ECHO;DRAME;ISLANDE;JOUR 2 FETE;TP;2020-01-01;OUI;18;echo;jour 2 fete
2014;2014001815;140062;ECHO;AVENTURES;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2014-07-30;NON;277;echo;metropolitan filmexport                                         
2006;2006293466;115760;ECHO PARK, L.A.;COMEDIE DRAMATIQUE;ETATS UNIS;MEMENTO FILMS DISTRIBUTION                                      ;TP;2006-07-05;OUI;51;echo park, l.a.;memento films distribution                                      
2001;2001993715;102430;ECLIPSE DE LUNE;DRAME;CHINE;ATIKA FILMS;TP;2001-06-30;OUI;1;eclipse de lune;atika films
2003;2003293705;108425;ECOLE PATERNELLE;COMEDIE;ETATS UNIS;SONY PICTURES TELEVISION DISTRIBUTION (FRANCE)                  ;TP;2003-10-22;NON;484;ecole paternelle;sony pictures television distribution (france)                  
2021;2020002231;153552;ECOLIERS;DOCUMENTAIRE;FRANCE;LA VINGT CINQUIEME HEURE DISTRIBUTION;TP;2021-05-19;OUI;6;ecoliers;la vingt cinquieme heure distribution
2007;2007073470;109743;ECORCHES;THRILLER;FRANCE;ALEXART FILMS                                                   ;12;2007-07-25;NON;47;ecorches;alexart films                                                   
2007;2007083396;111935;ECOUTE LE TEMPS;DRAME;FRANCE;ZELIG FILMS                                                     ;TP;2007-06-06;NON;17;ecoute le temps;zelig films                                                     
2007;2007293153;117261;ECRIRE POUR EXISTER;DRAME;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2007-03-14;NON;250;ecrire pour exister;paramount pictures france                                       
2004;2004083183;110035;ECRIVAINS DES FRONTIERES, UN VOYAGE EN PALESTINE(S);DOCUMENTAIRE;FRANCE;L'YEUX OUVERTS                                                  ;TP;2004-03-10;OUI;2;ecrivains des frontieres, un voyage en palestine(s);l'yeux ouverts                                                  
2012;2009994996;124742;ECUADOR;DOCUMENTAIRE;FRANCE;MYRIAPODUS FILMS EDITIONS                                       ;TP;2012-11-14;OUI;1;ecuador;myriapodus films editions                                       
2016;2016000630;144229;EDDIE THE EAGLE;COMEDIE DRAMATIQUE;GRANDE BRETAGNE;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2016-05-04;NON;200;eddie the eagle;twentieth century fox france inc                                
2014;2012001787;133747;EDEN;COMEDIE DRAMATIQUE;FRANCE;AD VITAM                                                        ;TP;2014-11-19;OUI;117;eden;ad vitam                                                        
2013;2013002513;2013002513;EDEN;DRAME;ETATS UNIS;CLEAR VISION LIMITED                                            ;12;2013-11-13;NON;1;eden;clear vision limited                                            
2001;2001093473;102214;EDEN;DRAME;FRANCE / ISRAEL / ITALIE;CINEVIA FILMS;TP;2001-08-29;OUI;67;eden;cinevia films
2009;2009093072;119541;EDEN A L OUEST;COMEDIE DRAMATIQUE;FRANCE / ITALIE / GRECE;PATHE DISTRIBUTION                                              ;TP;2009-02-11;OUI;125;eden a l ouest;pathe distribution                                              
2008;2008393755;121552;EDEN LAKE;THRILLER;GRANDE BRETAGNE;LA FABRIQUE DE FILMS;16;2008-10-08;NON;124;eden lake;la fabrique de films
2007;2007093987;117258;EDEN LOG;FANTASTIQUE;FRANCE;BAC DISTRIBUTION;12;2007-12-26;NON;70;eden log;bac distribution
2015;2015001186;142322;EDGAR MORIN, CHRONIQUE D'UN REGARD;DOCUMENTAIRE;FRANCE;TAMASA DISTRIBUTION                                             ;TP;2015-04-29;OUI;2;edgar morin, chronique d un regard;tamasa distribution                                             
2014;2014001568;139728;EDGE OF TOMORROW;SCIENCE FICTION;GRANDE BRETAGNE;WARNER BROS. ENTERTAINMENT FRANCE                               ;TP;2014-06-04;NON;561;edge of tomorrow;warner bros. entertainment france                               
2006;2006293182;114440;EDISON;POLICIER;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TPA;2006-05-10;NON;91;edison;metropolitan filmexport                                         
2017;2017001955;146696;EDITEUR;FICTION;FRANCE;NORTE DISTRIBUTION                                              ;TP;2017-11-29;OUI;3;editeur;norte distribution                                              
2019;2019003029;151395;EDITH EN CHEMIN VERS SON REVE;DRAME;GRANDE BRETAGNE;JUPITER FILMS;TP;2019-09-18;NON;25;edith en chemin vers son reve;jupiter films
2019;2017004484;147739;EDMOND;HISTOIRE;FRANCE / BELGIQUE;GAUMONT                                                         ;TP;2019-01-09;OUI;490;edmond;gaumont                                                         
2015;2011002648;131211;EDMOND, UN PORTRAIT DE BAUDOIN;DOCUMENTAIRE;FRANCE;KALEO FILMS                                                     ;TP;2015-09-30;OUI;2;edmond, un portrait de baudoin;kaleo films                                                     
2023;2022005974;160571;EDOUARD LOUIS OU LA TRANSFORMATION;DOCUMENTAIRE;FRANCE;OUTPLAY;TP;2023-11-29;OUI;15;edouard louis ou la transformation;outplay
2005;2005093696;109168;EDY;COMEDIE;FRANCE;STUDIOCANAL                                                     ;TPA;2005-11-02;NON;60;edy;studiocanal                                                     
2020;2019002389;151698;EFFACER L'HISTORIQUE;COMEDIE DRAMATIQUE;FRANCE;LES FILMS SAINT ANDRE DES ARTS;TP;2020-03-04;NON;1;effacer l historique;les films saint andre des arts
2020;2019003145;151251;EFFACER L'HISTORIQUE;COMEDIE;FRANCE;AD VITAM;TP;2020-08-26;OUI;639;effacer l historique;ad vitam
2013;2013000513;136238;EFFETS SECONDAIRES;THRILLER;ETATS UNIS;ARP MERMOZ;TP;2013-04-03;OUI;210;effets secondaires;arp mermoz
2012;2011003449;131760;EFFRACTION;THRILLER;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;12;2012-07-18;NON;181;effraction;metropolitan filmexport                                         
2003;2003093188;105704;EFFROYABLES JARDINS;COMEDIE DRAMATIQUE;FRANCE;UFD;TP;2003-03-26;NON;506;effroyables jardins;ufd
1996;1996983198;089663;EGGS;COMEDIE;NORVEGE;ALONSO FILMS DISTRIBUTION;TP;1996-04-03;OUI;4;eggs;alonso films distribution
2017;2017002528;147118;EGON SCHIELE;HISTOIRE;AUTRICHE / LUXEMBOURG;BODEGA FILMS                                                    ;TP;2017-08-16;OUI;49;egon schiele;bodega films                                                    
2001;2001283221;101759;EH MEC, ELLE EST OU MA CAISSE ?;COMEDIE;ETATS UNIS;UFD;TP;2001-04-18;NON;183;eh mec, elle est ou ma caisse ?;ufd
2021;2012002164;134220;EIFFEL;COMEDIE DRAMATIQUE;FRANCE;PATHE FILMS;TP;2021-10-13;NON;713;eiffel;pathe films
2013;2013001826;138070;EKA ET NATIA CHRONIQUE D UNE JEUNESSE GEORGIENNE;DRAME;GEORGIE;ARIZONA FILMS;TP;2013-11-27;OUI;12;eka et natia chronique d une jeunesse georgienne;arizona films
2016;2015002979;143106;EL ACOMPANANTE;DRAME;CUBA / FRANCE;ID UNLIMITED                                                    ;TP;2016-08-17;OUI;18;el acompanante;id unlimited                                                    
2023;2022000070;156235;EL AGUA;DRAME;SUISSE;LES FILMS DU LOSANGE;TP;2023-03-01;OUI;37;el agua;les films du losange
2008;2008973638;121238;EL ASALTANTE;DRAME;ARGENTINE;FILMS SANS FRONTIERES                                           ;TP;2008-10-08;OUI;2;el asaltante;films sans frontieres                                           
2006;2006093187;114864;EL AURA;THRILLER;ARGENTINE / FRANCE;METROPOLITAN FILMEXPORT                                         ;TP;2006-03-29;OUI;43;el aura;metropolitan filmexport                                         
2008;2008093166;112792;EL BANO DEL PAPA (LES TOILETTES DU PAPE);COMEDIE DRAMATIQUE;URUGUAY / FRANCE;PIERRE GRISE DISTRIBUTION                                       ;TP;2008-03-19;OUI;35;el bano del papa (les toilettes du pape);pierre grise distribution                                       
2003;2003983297;107240;EL BOLA;DRAME;ESPAGNE;LES FILMS DU SAFRAN;TPA;2003-04-30;OUI;22;el bola;les films du safran
2003;2003993537;106797;EL BONAERENSE;DRAME;ARGENTINE;MARS DISTRIBUTION;TP;2003-04-09;OUI;14;el bonaerense;mars distribution
2022;2022000923;156791;EL BUEN PATRON;COMEDIE;ESPAGNE;PANAME DISTRIBUTION;TP;2022-06-22;OUI;225;el buen patron;paname distribution
2011;2011002053;130679;EL BULLI;DOCUMENTAIRE;ALLEMAGNE;ZOOTROPE PRODUCTIONS                                            ;TP;2011-10-12;OUI;9;el bulli;zootrope productions                                            
2007;2007993413;117913;EL CAMINO DE SAN DIEGO;COMEDIE DRAMATIQUE;ARGENTINE;TF1 DROITS AUDIOVISUELS                                         ;TP;2007-06-13;OUI;44;el camino de san diego;tf1 droits audiovisuels                                         
2012;2012001038;133611;EL CAMPO;DRAME;ARGENTINE / FRANCE;BODEGA FILMS                                                    ;TP;2012-06-13;OUI;2;el campo;bodega films                                                    
2006;2005093686;084219;EL CANTOR;COMEDIE DRAMATIQUE;FRANCE;SHELLAC                                                         ;TP;2006-03-15;OUI;13;el cantor;shellac                                                         
1997;1997093491;091367;EL CHE ERNESTO GUEVARA;DOCUMENTAIRE;FRANCE / ESPAGNE;GEMACI                                                          ;TP;1997-10-01;OUI;14;el che ernesto guevara;gemaci                                                          
2012;2011003354;132489;EL CHINO;COMEDIE DRAMATIQUE;ESPAGNE / ARGENTINE;EUROZOOM                                                        ;TP;2012-02-08;OUI;27;el chino;eurozoom                                                        
2005;2005093161;109711;EL CIELITO;DRAME;ARGENTINE / FRANCE;SOPHIE DULAC DISTRIBUTION                                       ;TP;2005-06-08;OUI;23;el cielito;sophie dulac distribution                                       
2007;2007993366;117806;EL CIELO DIVIDIDO;DRAME;MEXIQUE;WE & CO;12;2007-05-16;OUI;1;el cielo dividido;we & co
2016;2015004481;143942;EL CLAN;THRILLER;ARGENTINE;DIAPHANA DISTRIBUTION                                           ;12;2016-02-10;OUI;82;el clan;diaphana distribution                                           
2015;2015002353;143301;EL CLUB;DRAME;CHILI;WILD BUNCH                                                      ;TPA;2015-11-18;OUI;56;el club;wild bunch                                                      
2007;2007283714;118795;EL CORTEZ;THRILLER;ETATS UNIS;JUPITER COMMUNICATION SA                                        ;TP;2007-09-26;NON;2;el cortez;jupiter communication sa                                        
2007;2007093236;114906;EL CUSTODIO;DRAME;ARGENTINE / FRANCE;SOPHIE DULAC DISTRIBUTION                                       ;TP;2007-04-04;OUI;12;el custodio;sophie dulac distribution                                       
2013;2012003402;135385;EL ESTUDIANTE OU RECIT D UNE JEUNESSE REVOLTEE;DRAME;ARGENTINE;EPICENTRE FILMS                                                 ;TP;2013-01-23;OUI;34;el estudiante ou recit d une jeunesse revoltee;epicentre films                                                 
2015;2015000454;141583;EL EVANGELIO DE LA CARNE;DRAME;PEROU;BOBINE FILMS                                                    ;TPA;2015-03-25;OUI;3;el evangelio de la carne;bobine films                                                    
2014;2013002497;138156;EL GRAN DRAGON;DOCUMENTAIRE;FRANCE;BOBINE FILMS                                                    ;TP;2014-03-05;OUI;1;el gran dragon;bobine films                                                    
2010;2009994508;125533;EL GRECO;COMEDIE DRAMATIQUE;GRECE;ACCATONE;TP;2010-03-03;OUI;1;el greco;accatone
2012;2011000277;128882;EL GUSTO;DOCUMENTAIRE;IRLANDE;UGC DISTRIBUTION                                                ;TP;2012-01-11;OUI;10;el gusto;ugc distribution                                                
2014;1900027205;122859;EL IMPENETRABLE;DOCUMENTAIRE;FRANCE / ARGENTINE;LES FILMS D'ICI                                                 ;TP;2014-03-26;OUI;4;el impenetrable;les films d'ici                                                 
